ChEMBL_ID,SMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,Rings,AtomCount,Lipinski,Veber,Ghose,Egan,PAINS,Brenk,Lipinski_Score,Veber_Score,Ghose_Score,Egan_Score,PAINS_Score,Brenk_Score,Quality_Score,Quality_Class
CHEMBL6470,COc1ccc2c(c1)[nH]c1cnccc12,198.225,2.7247000000000003,1,2,37.91,1,3,15,Pass,Pass,Fail,Pass,Clean,Clean,1,1,0,1,1,1,5,Good
CHEMBL267164,COCCNC(=O)C1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,389.4560000000002,1.2081999999999995,2,8,111.83000000000001,7,3,28,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL6831,CCN(CC)C(=O)C1CCCN(c2nc(N)c3cc(OC)c(OC)cc3n2)C1,387.48400000000015,2.314,1,7,93.81000000000002,6,3,28,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL269342,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2cscn2)cc1,443.5320000000001,3.6701200000000016,2,7,91.24,7,4,32,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL6317,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccsc2)cc1,442.5440000000001,4.275120000000003,2,6,78.35,7,4,32,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL267457,CCCCNC(=O)CCC1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,415.5380000000002,3.142100000000002,2,7,102.60000000000001,9,3,30,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL267458,Cc1noc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)c1C,345.4240000000001,3.311440000000002,1,5,75.44,4,3,24,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6318,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,523.4580000000004,7.134900000000008,0,2,12.47,8,4,31,Fail,Pass,Fail,Fail,Clean,Alert,0,1,0,0,1,0,2,Poor
CHEMBL268389,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCN2CCCC2)cc1)c1ccccc1,565.5390000000006,8.305200000000006,0,2,12.47,11,4,34,Fail,Fail,Fail,Fail,Clean,Alert,0,0,0,0,1,0,1,Poor
CHEMBL6547,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCCCCCCCCN2CCCC2)cc1)c1ccccc1,635.6740000000004,10.255699999999994,0,2,12.47,16,4,39,Fail,Fail,Fail,Fail,Clean,Alert,0,0,0,0,1,0,1,Poor
CHEMBL6446,COc1ccc(C2CN3CCN(C)CC3c3ccccc32)cc1,308.425,3.1292000000000018,0,3,15.71,2,4,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6605,Cc1c(C)c2c(c(C)c1OCc1ccccc1)C(CN(C)CCOc1ccc(/C=C3\SC(=O)NC3=O)cc1)C(C)(C)O2,586.7540000000002,6.780160000000008,1,7,77.10000000000001,10,5,42,Fail,Pass,Fail,Fail,Clean,Alert,0,1,0,0,1,0,2,Poor
CHEMBL6399,CN(C)c1cccc2c(S(=O)(=O)Nc3cnccn3)cccc12,328.397,2.496600000000001,1,5,75.19,4,3,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL266315,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(Cl)cn3)cccc12,361.85400000000004,3.7550000000000017,1,4,62.300000000000004,4,3,24,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6400,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(Br)cc3)cccc12,405.317,4.469100000000003,1,3,49.410000000000004,4,3,24,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6574,c1ccc(CN2CCN3CC(c4ccccc4)c4ccccc4C3C2)cc1,354.4970000000001,4.691000000000004,0,2,6.48,3,5,27,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6575,CN1CCN2CC(c3ccc([N+](=O)[O-])cc3)c3ccc([N+](=O)[O-])cc3C2C1,368.39300000000014,2.937000000000001,0,6,92.76,3,4,27,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL6459,CN1CCN2CC(c3ccc(Cl)cc3)c3ccccc3C2C1,312.84400000000005,3.7740000000000027,0,2,6.48,1,4,22,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL266801,CN1CCN2CC(c3ccc([N+](=O)[O-])cc3)c3ccccc3C2C1,323.3960000000001,3.0288000000000013,0,4,49.620000000000005,2,4,24,Pass,Pass,Pass,Pass,Clean,Alert,1,1,1,1,1,0,5,Good
CHEMBL6566,Cc1nc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)ccc1Br,420.33200000000005,4.172520000000003,1,4,62.300000000000004,4,3,25,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL6570,Nc1nc(N)c2nc(Sc3cccc(C(F)(F)F)c3)cnc2n1,338.31800000000004,2.754200000000001,2,7,103.6,2,3,23,Pass,Pass,Pass,Pass,Clean,Clean,1,1,1,1,1,1,6,Excellent
CHEMBL269472,CC/C(=C(\c1ccc(I)cc1)c1ccc(OCCCN2CCCC2)cc1)c1ccccc1,537.4850000000005,7.525000000000008,0,2,12.47,9,4,32,Fail,Pass,Fail,Fail,Clean,Alert,0,1,0,0,1,0,2,Poor
